"SYSTID";"MATNR";"MEINH";"LFNUM";"EAN11";"EANTP";"HPEAN"
"RA1";"000000000010187259";"ST";2;"NOR AO15";"Z3";NA
"RA1";"000000000010187314";"ST";2;"134202";"Z2";NA
"RA1";"000000000010187325";"ST";2;"134271";"Z2";NA
"RA1";"000000000010187330";"ST";2;"135125";"Z2";NA
"RA1";"000000000010187334";"ST";2;"135174";"Z2";NA
"RA1";"000000000010187352";"ST";2;"135355";"Z2";NA
"RA1";"000000000010187353";"ST";2;"135361";"Z2";NA
"RA1";"000000000010187359";"ST";2;"135494";"Z2";NA
"RA1";"000000000010187396";"ST";2;"133538";"Z2";NA
"RA1";"000000000010187404";"ST";2;"133588";"Z2";NA
"RA1";"000000000010187408";"ST";2;"133686";"Z2";NA
"RA1";"000000000010187434";"ST";2;"133877";"Z2";NA
"RA1";"000000000010187449";"ST";2;"133973";"Z2";NA
"RA1";"000000000010187451";"ST";2;"133988";"Z2";NA
"RA1";"000000000010187463";"ST";2;"134134";"Z2";NA
"RA1";"000000000010187469";"ST";2;"134172";"Z2";NA
"RA1";"000000000010187474";"ST";1;"137062";"Z2";NA
"RA1";"000000000010187478";"ST";1;"137087";"Z2";NA
"RA1";"000000000010187482";"ST";1;"137111";"Z2";NA
"RA1";"000000000010187483";"ST";1;"137117";"Z2";NA
"RA1";"000000000010187484";"ST";1;"137124";"Z2";NA
"RA1";"000000000010187488";"ST";1;"137149";"Z2";NA
"RA1";"000000000010187494";"ST";1;"137186";"Z2";NA
"RA1";"000000000010187506";"ST";1;"137259";"Z2";NA
"RA1";"000000000010187515";"ST";1;"137314";"Z2";NA
"RA1";"000000000010187517";"ST";2;"136452";"Z2";NA
"RA1";"000000000010187522";"ST";1;"136649";"Z2";NA
"RA1";"000000000010187525";"ST";1;"136668";"Z2";NA
"RA1";"000000000010187532";"ST";1;"136711";"Z2";NA
"RA1";"000000000010187533";"ST";1;"136717";"Z2";NA
"RA1";"000000000010187535";"ST";1;"136730";"Z2";NA
"RA1";"000000000010187545";"ST";1;"136798";"Z2";NA
"RA1";"000000000010187546";"ST";1;"136810";"Z2";NA
"RA1";"000000000010187932";"ST";1;"110884";"Z2";"X"
"RA1";"000000000010187932";"ST";2;"NOR GS";"Z3";NA
"RA1";"000000000010187933";"ST";1;"110888";"Z2";"X"
"RA1";"000000000010187933";"ST";2;"NOR GRA";"Z3";NA
"RA1";"000000000010187934";"ST";1;"112492";"Z2";"X"
"RA1";"000000000010187934";"ST";2;"SE VHDB10";"Z3";NA
"RA1";"000000000010187935";"ST";1;"112497";"Z2";"X"
"RA1";"000000000010187935";"ST";2;"SE VEDB14";"Z3";NA
"RA1";"000000000010187936";"ST";1;"122588";"Z2";"X"
"RA1";"000000000010187936";"ST";2;"HY VV5867";"Z3";NA
"RA1";"000000000010187937";"ST";1;"124294";"Z2";"X"
"RA1";"000000000010187937";"ST";2;"SE VE74TB";"Z3";NA
"RA1";"000000000010187951";"ST";2;"132989";"Z2";NA
"RA1";"000000000010187977";"ST";2;"133518";"Z2";NA
"RA1";"000000000010187980";"ST";2;"133527";"Z2";NA
"RA1";"000000000010187990";"ST";2;"133558";"Z2";NA
"RA1";"000000000010187993";"ST";2;"133568";"Z2";NA
"RA1";"000000000010187996";"ST";2;"133577";"Z2";NA
"RA1";"000000000010188002";"ST";2;"133596";"Z2";NA
"RA1";"000000000010188005";"ST";2;"133666";"Z2";NA
"RA1";"000000000010188006";"ST";2;"133676";"Z2";NA
"RA1";"000000000010188007";"ST";2;"133685";"Z2";NA
"RA1";"000000000010188027";"ST";2;"133776";"Z2";NA
"RA1";"000000000010188033";"ST";2;"133796";"Z2";NA
"RA1";"000000000010188072";"ST";2;"134232";"Z2";NA
"RA1";"000000000010188075";"ST";2;"134242";"Z2";NA
"RA1";"000000000010188078";"ST";2;"134251";"Z2";NA
"RA1";"000000000010188094";"ST";2;"133820";"Z2";NA
"RA1";"000000000010188102";"ST";2;"133845";"Z2";NA
"RA1";"000000000010188108";"ST";2;"133863";"Z2";NA
"RA1";"000000000010188126";"ST";2;"133919";"Z2";NA
"RA1";"000000000010188132";"ST";2;"133937";"Z2";NA
"RA1";"000000000010188136";"ST";2;"133951";"Z2";NA
"RA1";"000000000010188139";"ST";2;"133961";"Z2";NA
"RA1";"000000000010188146";"ST";2;"133987";"Z2";NA
"RA1";"000000000010188149";"ST";2;"134001";"Z2";NA
"RA1";"000000000010188156";"ST";2;"134040";"Z2";NA
"RA1";"000000000010188164";"ST";2;"134114";"Z2";NA
"RA1";"000000000010188167";"ST";2;"134124";"Z2";NA
"RA1";"000000000010188170";"ST";2;"134133";"Z2";NA
"RA1";"000000000010188173";"ST";2;"134143";"Z2";NA
"RA1";"000000000010188176";"ST";2;"134152";"Z2";NA
"RA1";"000000000010188189";"ST";2;"134192";"Z2";NA
"RA1";"000000000010188194";"ST";2;"136472";"Z2";NA
"RA1";"000000000010188210";"ST";1;"136670";"Z2";NA
"RA1";"000000000010188214";"ST";1;"136683";"Z2";NA
"RA1";"000000000010188216";"ST";1;"136689";"Z2";NA
"RA1";"000000000010188251";"ST";2;"135207";"Z2";NA
"RA1";"000000000010188253";"ST";2;"135249";"Z2";NA
"RA1";"000000000010188256";"ST";2;"135270";"Z2";NA
"RA1";"000000000010188266";"ST";2;"135308";"Z2";NA
"RA1";"000000000010188271";"ST";2;"135323";"Z2";NA
"RA1";"000000000010188279";"ST";2;"135348";"Z2";NA
"RA1";"000000000010188290";"ST";2;"135448";"Z2";NA
"RA1";"000000000010188313";"ST";2;"135573";"Z2";NA
"RA1";"000000000010188320";"ST";2;"135594";"Z2";NA
"RA1";"000000000010188330";"ST";1;"137077";"Z2";NA
"RA1";"000000000010188332";"ST";1;"137083";"Z2";NA
"RA1";"000000000010188387";"ST";1;"137258";"Z2";NA
"RA1";"000000000010188388";"ST";1;"137261";"Z2";NA
"RA1";"000000000010188398";"ST";1;"137292";"Z2";NA
"RA1";"000000000010188404";"ST";1;"137310";"Z2";NA
"RA1";"000000000010188406";"ST";2;"137563";"Z2";NA
"RA1";"000000000010188431";"ST";1;"136827";"Z2";NA
